Sum - Number of Collisions,ISO Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-07,2022-08,2022-09,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-06,2023-07,2023-09,2023-10,2023-11,2023-12,(empty),Total Result
19734 Pacific Coast Hwy,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
20136 Pacific Coast Hwy,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
21453 Pacific Coast Hwy,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
25653 Pacific Coast Hwy,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
30000 Pacific Coast Hwy,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
30811 Pacific Coast Hwy,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
31369 Pacific Coast Hwy,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,2
Pacific Coast Hwy & Big Rock Dr,2,1,1,,2,,2,2,2,2,,1,,2,,,,1,4,,,,3,1,2,,3,2,,,,2,,35
Pacific Coast Hwy & Broad Beach Rd,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,3
Pacific Coast Hwy & Budwood Mtwy,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Pacific Coast Hwy & Busch Dr,,,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,3,,7
Pacific Coast Hwy & Carbon Beach Terrace,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2
Pacific Coast Hwy & Carbon Canyon Rd,,,3,,3,,4,,,,,,2,,,,,,,,,,,3,,,,,,,,,,15
Pacific Coast Hwy & Coastline Dr,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Pacific Coast Hwy & Corral Canyon Rd,,,,,,1,,2,,,,1,,,,,,,,,2,,,,,,,,2,,,,,8
Pacific Coast Hwy & Cross Creek Rd,,,,2,,,,,2,,,,,,,,2,2,,,,2,3,,,2,,2,,3,,,,20
Pacific Coast Hwy & Decker Canyon Rd,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,3
Pacific Coast Hwy & El Pescador Beach Rd,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Pacific Coast Hwy & Encinal Canyon Rd,,,,,,,1,,,,2,,,,,,,2,,,,,,,,2,,,,,,,,7
Pacific Coast Hwy & Escondido Beach Rd,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
Pacific Coast Hwy & Guernsey Av,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Pacific Coast Hwy & Heathercliff Rd,,,,,,,,4,,,,,,,,,,2,,1,,,,,,,,,,,,,,7
Pacific Coast Hwy & John Tyler Dr,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,4,,,,,8
Pacific Coast Hwy & Kanan Dume Rd,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,4
Pacific Coast Hwy & Las Flores Canyon Rd,,,,,,,2,4,,,,,,2,,2,1,,1,,,,,,2,3,1,,1,,,,,19
Pacific Coast Hwy & Malibu Canyon Rd,,,,,,2,4,2,,,2,,,4,2,,,,,,,,,,,,,,,,,,,16
Pacific Coast Hwy & Malibu Rd,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2
Pacific Coast Hwy & Morning View Dr,,,,1,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,5
Pacific Coast Hwy & Paradise Cove Rd,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Pacific Coast Hwy & Pena Rd,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pacific Coast Hwy & Puerco Canyon Rd,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Pacific Coast Hwy & Rambla Pacifico,,,,,,,,2,,,,,,,,,,,,,,,2,,,2,,,,,,,,6
Pacific Coast Hwy & Rambla Vista,,,,2,,2,,,,,2,,,3,2,,2,,3,,,,1,,3,3,,2,,2,2,,,29
Pacific Coast Hwy & Serra Rd,,,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,,3,,,9
