ISO Date,Reporting District,Count,Location
2021-01,1017,2,Pacific Coast Hwy & Big Rock Dr
2021-01,1018,2,Pacific Coast Hwy & Tuna Canyon Rd
2021-02,1013,1,Pacific Coast Hwy & Westward Beach Rd 
2021-02,1017,1,Pacific Coast Hwy  & Big Rock Dr
2021-03,1015,2,Pacific Coast Hwy & Carbon Canyon Rd
2021-03,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd
2021-03,1016,1,Pacific Coast Hwy & Carbon Canyon Rd
2021-03,1017,1,Pacific Coast Hwy & Big Rock Dr
2021-04,1010,1,Pacific Coast Hwy & Decker Canyon Rd
2021-04,1012,2,Pacific Coast Hwy & Busch Dr
2021-04,1015,3,Pacific Coast Hwy & Sweetwater Canyon Rd
2021-04,1015,2,Pacific Coast Hwy & Cross Creek Rd
2021-04,1016,2,Pacific Coast Hwy & Rambla Vista
2021-04,1081,1,Pacific Coast Hwy & Morning View Dr
2021-04,1082,1,Pacific Coast Hwy & Westward Beach Rd
2021-05,1011,1,Pacific Coast Hwy & Broad Beach Rd
2021-05,1014,1,Pacific Coast Hwy & Malibu Rd
2021-05,1015,2,Pacific Coast Hwy & Webb Wy
2021-05,1016,3,Pacific Coast Hwy & Carbon Canyon Rd
2021-05,1017,2,Pacific Coast Hwy & Big Rock Dr
2021-06,1014,1,Pacific Coast Hwy & Corral Canyon Rd
2021-06,1015,2,Pacific Coast Hwy & Malibu Canyon Rd
2021-06,1016,2,Pacific Coast Hwy & Rambla Vista
2021-06,1018,1,Pacific Coast Hwy & Pena Rd
2021-07,1010,1,Pacific Coast Hwy & Encinal Canyon Rd
2021-07,1012,2,Pacific Coast Hwy & Kanan Dume Rd
2021-07,1012,2,Pacific Coast Hwy & Paradise Cove Rd
2021-07,1015,4,Pacific Coast Hwy & Malibu Canyon Rd
2021-07,1015,2,Pacific Coast Hwy & Carbon Canyon Rd
2021-07,1016,2,Pacific Coast Hwy & Carbon Canyon Rd
2021-07,1017,2,Pacific Coast Hwy & Big Rock Dr
2021-07,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd
